Business Date,Business Hour,Location Name,Net Sales Total  (Sum),Number of Guests  (Sum)
6/15/2019,4:00 PM - 4:59 PM,3,14,2
6/15/2019,5:00 PM - 5:59 PM,3,0,0
6/15/2019,5:00 PM - 5:59 PM,3,117.63,5
6/15/2019,8:00 PM - 8:59 PM,3,219.13,6
6/15/2019,9:00 PM - 9:59 PM,3,170.11,9
6/15/2019,10:00 PM - 10:59 PM,3,36.01,3
6/15/2019,4:00 PM - 4:59 PM,3,83.33,5
6/15/2019,6:00 PM - 6:59 PM,3,795.75,38
6/15/2019,6:00 PM - 6:59 PM,3,774.34,30
6/15/2019,6:00 PM - 6:59 PM,3,435.89,9
6/15/2019,7:00 PM - 7:59 PM,3,257.74,18
6/15/2019,7:00 PM - 7:59 PM,3,665.3,19
6/15/2019,7:00 AM - 7:59 AM,3,0,1
6/15/2019,8:00 AM - 8:59 AM,3,255.6,12
6/15/2019,11:00 AM - 11:59 AM,3,330.38,17
6/15/2019,12:00 PM - 12:59 PM,3,388.23,19
6/15/2019,1:00 PM - 1:59 PM,3,253.5,9
6/15/2019,2:00 PM - 2:59 PM,3,327.54,15
6/15/2019,3:00 PM - 3:59 PM,3,317.53,13
6/15/2019,8:00 PM - 8:59 PM,3,265,9
6/15/2019,10:00 PM - 10:59 PM,3,287.41,10
6/15/2019,11:00 PM - 11:59 PM,3,0,0
6/15/2019,7:00 AM - 7:59 AM,3,75.79,6
6/15/2019,7:00 AM - 7:59 AM,3,67.42,5
6/15/2019,9:00 AM - 9:59 AM,3,162.73,7
6/15/2019,9:00 AM - 9:59 AM,3,289.13,15
6/15/2019,10:00 AM - 10:59 AM,3,359.56,20
6/15/2019,12:00 PM - 12:59 PM,3,379.67,18
6/15/2019,1:00 PM - 1:59 PM,3,505.64,10
6/15/2019,2:00 PM - 2:59 PM,3,250.61,18
6/15/2019,2:00 PM - 2:59 PM,3,295.43,15
6/15/2019,2:00 PM - 2:59 PM,3,223.49,1
6/15/2019,3:00 PM - 3:59 PM,3,226.59,16
6/15/2019,3:00 PM - 3:59 PM,3,102.53,8
6/15/2019,4:00 PM - 4:59 PM,3,0,0
6/15/2019,8:00 PM - 8:59 PM,3,459.26,19
6/15/2019,9:00 AM - 9:59 AM,3,235.08,18
6/15/2019,10:00 AM - 10:59 AM,3,289.89,30
6/15/2019,11:00 AM - 11:59 AM,3,342,22
6/15/2019,11:00 AM - 11:59 AM,3,486.05,16
6/15/2019,11:00 AM - 11:59 AM,3,347.23,15
6/15/2019,9:00 PM - 9:59 PM,3,253.91,9
6/15/2019,9:00 AM - 9:59 AM,3,318.33,24
6/15/2019,12:00 PM - 12:59 PM,3,360.43,30
6/15/2019,6:00 PM - 6:59 PM,3,264.35,18
6/15/2019,7:00 PM - 7:59 PM,3,474.09,25
6/15/2019,8:00 PM - 8:59 PM,3,78.07,4
6/15/2019,10:00 PM - 10:59 PM,3,128.27,6
6/15/2019,8:00 AM - 8:59 AM,3,139.14,10
6/15/2019,10:00 AM - 10:59 AM,3,386.19,27
6/15/2019,12:00 PM - 12:59 PM,3,295.87,30
6/15/2019,5:00 PM - 5:59 PM,3,18,2
6/15/2019,5:00 PM - 5:59 PM,3,34,0
6/15/2019,9:00 PM - 9:59 PM,3,385.71,17
6/15/2019,11:00 PM - 11:59 PM,3,-16.74,0
6/15/2019,11:00 PM - 11:59 PM,3,0.22,0
6/15/2019,12:00 AM - 12:59 AM,3,-277.34,1
6/15/2019,8:00 AM - 8:59 AM,3,29.63,2
6/15/2019,8:00 AM - 8:59 AM,3,204.02,14
6/15/2019,10:00 AM - 10:59 AM,3,446.59,19
6/15/2019,1:00 PM - 1:59 PM,3,414.41,26
6/15/2019,3:00 PM - 3:59 PM,3,-19.11,8
6/15/2019,4:00 PM - 4:59 PM,3,0,0
6/15/2019,7:00 PM - 7:59 PM,3,312.84,11
6/15/2019,9:00 PM - 9:59 PM,3,241.3,8
6/15/2019,10:00 PM - 10:59 PM,3,103.63,6
6/15/2019,11:00 PM - 11:59 PM,3,0,0
6/16/2019,9:00 AM - 9:59 AM,3,491.56,37
6/16/2019,10:00 AM - 10:59 AM,3,361.96,24
6/16/2019,11:00 AM - 11:59 AM,3,268.06,12
6/16/2019,4:00 PM - 4:59 PM,3,198.05,5
6/16/2019,5:00 PM - 5:59 PM,3,379.55,12
6/16/2019,7:00 PM - 7:59 PM,3,407.02,32
6/16/2019,8:00 PM - 8:59 PM,3,202.53,8
6/16/2019,10:00 PM - 10:59 PM,3,-14.99,0
6/16/2019,10:00 PM - 10:59 PM,3,-177.26,0
6/16/2019,7:00 AM - 7:59 AM,3,13.94,1
6/16/2019,1:00 PM - 1:59 PM,3,374.11,38
6/16/2019,1:00 PM - 1:59 PM,3,365.27,27
6/16/2019,2:00 PM - 2:59 PM,3,369.18,13
6/16/2019,2:00 PM - 2:59 PM,3,503.45,20
6/16/2019,7:00 AM - 7:59 AM,3,282.77,17
6/16/2019,8:00 AM - 8:59 AM,3,182.18,18
6/16/2019,10:00 AM - 10:59 AM,3,283.3,23
6/16/2019,11:00 AM - 11:59 AM,3,857.15,36
6/16/2019,12:00 PM - 12:59 PM,3,418.61,21
